NBEATS,NHITS,MLP,MLP(3L),LSTM,GRU,DLSTM,DGRU,TCN,TiDE,SNaive,ADE,ADE(uid),MLpol,MLpol(uid),MLewa,MLewa(uid),BestOnTrain,BestOnTrain(uid),EqAverage,EqAverage(uid),Windowing,Windowing(uid),BLAST,BLAST(uid),Data,Frequency
0.17103046027528485,0.16941410253058534,0.1808901123593965,0.1764463404816725,0.1498517452142721,0.15010130136451783,0.15786766092604662,0.1522245199542482,0.1428037238294028,0.22580743539879883,0.15648344299960218,0.13903095998095583,0.13910263743217324,0.15112900476543556,0.14300598069199294,0.15068975071236324,0.14314552371298495,0.16941410249774538,0.15226613785981127,0.13906591779899025,0.13958706905414847,0.13893631304928208,0.13976325275415247,0.16941410249774538,0.15413700624702617,M4,Hourly
0.07474986911177645,0.07481208767377595,0.08933740022410554,0.07974387676052944,0.0956047447012516,0.08849687058389105,0.08828479502956418,0.08831472678745339,0.09293472882209823,0.08653719968491402,0.09747003421444084,0.079219121938755,0.07809160223653942,0.07494214441930097,0.07779792637503337,0.07496456075187827,0.0770218164904996,0.07481208752867721,0.07665968193819447,0.0812271655125558,0.07919294526792242,0.07732448247551907,0.07802262407979912,0.07959767197856918,0.07997156458747971,M4,Quarterly
0.13206002633877859,0.12778751952111925,0.1269585834078136,0.11456634961031535,0.12700937042798152,0.127852370615355,0.12861331861676345,0.12642151431119794,0.13269202201273625,0.19988791295188504,0.23997186299318873,0.12204015141285078,0.1235988653536159,0.13611678628513646,0.1328295756535775,0.1341901188364906,0.1315778690361849,0.11456634889386134,0.1365088180694646,0.12254450569025242,0.12301817257531962,0.12120511614223754,0.1231196317254135,0.13167352066300955,0.14255295573997637,Gluonts,nn5weekly
0.14079348549662254,0.14150786871281185,0.1426488211651816,0.1491141200201852,0.16920061657440297,0.16577228301315758,0.2075398467790212,0.17660778108988473,0.16869458739084026,0.1722996159977417,0.16427672286092304,0.1457830555167367,0.143448185474267,0.1405145809544877,0.14189490383432957,0.14224196074015644,0.14165162603120562,0.21849589470592382,0.14823449719501758,0.14474004794843415,0.14054293377816982,0.14398927269154435,0.13944184627140446,0.21849589470592382,0.14823449719501758,Gluonts,m1monthly
0.15021776454758867,0.14771858838886884,0.14971494941017166,0.1976817450003531,0.16008857583993213,0.15690558081823053,0.2669454529264366,0.27558732570174416,0.16207383194501507,0.2026685721384364,0.1661181643211171,0.14738831113483294,0.14696865339787887,0.14672803931023784,0.14952548592050863,0.1452582091637454,0.14703344467300333,0.168568118248159,0.15939870078749785,0.1470331176664976,0.14689994999311295,0.14613197213147508,0.14603301721321427,0.168568118248159,0.15939870078749785,Tourism,Quarterly
0.07964459735732611,0.07898661824996898,0.07585932633326864,0.07674853623129609,0.09375561320787507,0.0876049922845366,0.09093154415360766,0.0958095840425684,0.11110434824374613,0.08666400478433331,0.09278651738380785,0.0761602744795188,0.07429953804302636,0.07597855716521681,0.07480869068366663,0.07614127626464323,0.07468688655833151,0.0789866181992891,0.07972179595881443,0.07599782460446045,0.07405880169737564,0.07377154821375231,0.07288665443898047,0.0789866181992891,0.08119789713104107,M3,Quarterly
0.120828117006291,0.11493460287515338,0.11595874466329903,0.1165110903426596,0.09865805455631188,0.10151348066419252,0.10790983565971037,0.12353307829088365,0.10045789875596468,0.11871988021995976,0.10545160037159101,0.10093801603335056,0.09942901617614171,0.09853423290169962,0.09663438154708055,0.09956493802553369,0.0964121915154348,0.10870407350203436,0.09616974793521021,0.10063793546783811,0.09882150002200081,0.09375406774173102,0.09207587049605116,0.1145975871674237,0.10120843276956686,Gluonts,electricityweekly
0.06442549672222135,0.06416600941826589,0.06663346770164366,0.06636911552221203,0.0794823570255346,0.0772053652582425,0.07465728938363918,0.07467143469171694,0.08705731752081758,0.07290817350101376,0.08330086916858294,0.06677200623680266,0.06588939137496447,0.0647861826093057,0.06481556530488013,0.06422504302542108,0.0645159100655865,0.0641660092439375,0.06474463116140415,0.06746517823591901,0.06613715335124215,0.06569359746931545,0.06527148523998703,0.06587756144852315,0.0659838087849784,M4,Monthly
0.11078792798066894,0.1164012960668767,0.11566229401998145,0.11078852468275417,0.10656576002239032,0.10364318211753919,0.1349651126010113,0.16027428450757367,0.11029674316583354,0.11768599759574684,0.16398040519803556,0.10915827485578275,0.10595901957395998,0.10870938752813403,0.10887407633794767,0.1070747376022531,0.1096711145265419,0.11029674332892561,0.11811245755653262,0.11032050015983587,0.10621883195538552,0.10781174652234546,0.1064693469589609,0.11029674332892561,0.11495496554650403,Gluonts,m1quarterly
0.08240392292876801,0.082277739476135,0.08472610049265228,0.08297542675992949,0.08808148226164503,0.08886620449407417,0.09142335609839218,0.08832999202208841,0.09447677422424212,0.0931557833895106,0.10617725747199279,0.08138333537272661,0.0800128962413243,0.08138719841983472,0.08128085745001208,0.0812179246426667,0.08113065238944044,0.08240392301952135,0.0818941732048965,0.08145655905415976,0.07993973680925294,0.08036992409444563,0.07972862941402321,0.08240392301952135,0.08264254677704837,M3,Monthly
0.09025343392518606,0.0900414187941323,0.08961878193262354,0.09591445388041492,0.11493261041916719,0.09081786302112295,0.10677586406887109,0.18521974238335542,0.1419012612241039,0.09040609988924768,0.0984205500019719,0.08597619385319755,0.08716533455284334,0.08876395539096202,0.09031924379995676,0.0890595337061467,0.0910102262042752,0.09004141870476504,0.08825407014544032,0.08682514765917758,0.08785888029972931,0.08755155000684513,0.0867940251956456,0.09004141870476504,0.09496487572127975,M4,Weekly
